,DE,AT,DE-AT,BE,DE-BE,CZ,DE-CZ,CH,DE-CH,DK1,DE-DK1,DK2,DE-DK2,FR,DE-FR,NL,DE-NL,NO2,DE-NO2,PL,DE-PL,SE4,DE-SE4
2018-01-01 00:00:00,,,,14.16,,-10.0,,36.99,,21.8,,26.33,,6.74,,27.2,,26.33,,,,26.33,
2018-01-01 01:00:00,,,,4.74,,-19.0,,31.08,,26.43,,26.43,,4.74,,27.3,,26.43,,,,26.43,
2018-01-01 02:00:00,,,,3.66,,-20.1,,29.17,,26.1,,26.1,,3.66,,30.1,,26.1,,,,26.1,
2018-01-01 03:00:00,,,,1.26,,-26.9,,21.96,,24.7,,24.7,,1.26,,20.87,,24.7,,,,24.7,
2018-01-01 04:00:00,,,,-20.1,,-27.5,,14.96,,24.74,,24.74,,-20.1,,25.56,,24.74,,,,24.74,
2018-01-01 05:00:00,,,,-31.82,,-34.0,,-5.92,,18.01,,18.01,,-31.82,,25.58,,24.76,,,,18.01,
2018-01-01 06:00:00,,,,-28.66,,-35.0,,-6.1,,10.18,,10.18,,-28.66,,25.81,,24.98,,,,17.78,
2018-01-01 07:00:00,,,,-13.71,,-30.0,,-10.02,,17.8,,17.8,,-13.71,,29.9,,25.71,,,,17.8,
2018-01-01 08:00:00,,,,-19.33,,-35.0,,-5.71,,19.76,,19.76,,-4.14,,26.33,,25.48,,,,19.76,
2018-01-01 09:00:00,,,,-15.78,,-21.0,,-1.88,,20.73,,20.73,,2.03,,26.38,,25.54,,,,20.73,
2018-01-01 10:00:00,,,,-12.05,,-4.01,,-10.48,,24.76,,24.76,,-15.51,,29.9,,26.07,,,,24.76,
2018-01-01 11:00:00,,,,-0.42,,-2.0,,-6.79,,25.68,,25.68,,-0.42,,34.9,,26.12,,,,25.68,
2018-01-01 12:00:00,,,,2.3,,-4.01,,8.57,,16.56,,19.99,,2.3,,35.8,,26.16,,,,24.09,
2018-01-01 13:00:00,,,,2.3,,-2.01,,8.53,,13.21,,25.01,,2.3,,40.4,,26.19,,,,25.01,
2018-01-01 14:00:00,,,,13.76,,1.85,,8.52,,9.15,,25.81,,5.0,,34.15,,26.19,,,,25.81,
2018-01-01 15:00:00,,,,15.43,,6.03,,8.6,,13.29,,26.46,,8.56,,31.0,,26.46,,,,26.46,
2018-01-01 16:00:00,,,,25.46,,15.0,,16.98,,27.03,,27.03,,9.42,,30.0,,27.03,,,,27.03,
2018-01-01 17:00:00,,,,32.7,,22.38,,37.43,,27.43,,27.43,,12.46,,34.3,,27.43,,,,27.43,
