AGENT,MODEL,RISK,SCENARIO,DATA,file,SCP,p,lambda,threshold,weights,PROFIT,STD-,RTP,TOPK,SORTINO,static_profit,static_std_minus,static_rtp,static_topk,static_sortino
PROP,BANDS,RISK AVERSE,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_averse.csv,0.3,,,iqr,mae,9857.463168482704,9.318431189268056,0.013865406489616,0.5529877102770069,1057.845786298819,15953.854407943085,9.39168454927745,0.0224405278174965,0.4434689347420604,1698.7212809623695
PROP,BANDS,RISK AVERSE,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.55,,,5_95_IPR,mae,36903.43266104921,10.60333036994183,0.0519079895062271,0.4220750120298784,3480.3624308134868,37935.031913075305,11.234733311787982,0.0533590264230535,0.4106480959064571,3376.584994080116
PROP,BANDS,RISK AVERSE,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.45,,,5_95_IPR,mae,62192.32327170123,13.950430955544048,0.0874790834068596,0.3383423692621508,4458.093335603037,61425.803002295135,13.16976874563669,0.086400903865512,0.371474312156199,4664.151982368428
PROP,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.45,,,3sigma,mae,45954.89338160353,13.09385532643902,0.064639681227536,0.3759835907774122,3509.6533630405806,46221.15295555984,12.548508760318647,0.0650141992106678,0.3941752297110715,3683.398070511936
PROP,BANDS,RISK AVERSE,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.55,,,5_95_IPR,mae,66076.46255567548,14.228862742202876,0.0929424738465805,0.3300584492660782,4643.833014123636,64094.0102035652,13.654940028615988,0.0901539767212562,0.3671094241559702,4693.833152635349
PROP,BANDS,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_seeking.csv,0.3,,,iqr,mae,16280.047977995182,11.789476209060274,0.022899348344215,0.3432178680534494,1380.8966309702446,10017.168094771843,9.138771590431086,0.014090045799299,0.4663149496533239,1096.1175684990858
PROP,BANDS,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.1,,,5_95_IPR,mae,52630.54442240352,13.02160821944332,0.0740295834449203,0.3535807776075778,4041.7852799332254,40158.90771790682,12.960932131598748,0.0564871072983643,0.4099190334836614,3098.458298381134
PROP,BANDS,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.2,,,5_95_IPR,mae,62213.788631888354,13.66110535982562,0.0875092763621214,0.3438914460095213,4554.081605639743,56995.50124703169,13.354073473885398,0.0801692869009373,0.3820770634640911,4268.023637767864
PROP,BANDS,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.25,,,5_95_IPR,mae,49908.1847280482,14.292699342142194,0.0702003402483674,0.3636191600066341,3491.8655695004595,46422.18518003183,14.571687046147453,0.0652969690736816,0.4141163358875244,3185.779727015561
PROP,BANDS,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.25,,,5_95_IPR,mae,62199.374047293,14.17526842005677,0.0874890009554191,0.3420856289064561,4387.879806161998,59555.46332584224,13.679908846282324,0.0837701032787452,0.3825552950259019,4353.4985499576
