AGENT,MODEL,RISK,SCENARIO,DATA,file,SCP,p,lambda,threshold,weights,PROFIT,STD-,RTP,TOPK,SORTINO,static_profit,static_std_minus,static_rtp,static_topk,static_sortino
PROP,BANDS,RISK AVERSE,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_averse.csv,0.45,,,mae,mae,3239.68243387077,5.425908579998023,0.0045569040507813,0.9152656223932748,597.0764870262432,8985.822707014338,7.279105079106889,0.0126393659653463,0.5251613216769362,1234.468057454785
PROP,BANDS,RISK AVERSE,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.3,,,mae,mae,48816.44499354855,12.438794936695846,0.0686647103463352,0.3263057812572837,3924.53169635706,50725.3836169087,9.227404858269336,0.0713498038155397,0.3914643848268498,5497.253496084554
PROP,BANDS,RISK AVERSE,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_averse.csv,0.35,,,mae,mae,57683.553997678006,13.988650454004588,0.0811370948359963,0.3019746441540313,4123.596782073048,61242.28305048493,13.834559579091444,0.0861427665854318,0.372529754043088,4426.760584633435
PROP,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.25,,,mae,mae,39802.390350656,12.97063440302346,0.0559856336298301,0.3486846308368665,3068.6540930779797,49582.87516367644,12.55285507503456,0.0697427631549631,0.4033369317828739,3949.928113349141
PROP,BANDS,RISK AVERSE,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_averse.csv,0.6500000000000001,,,mae,mae,59991.82228110391,13.55867420583494,0.0843838813052695,0.3060191268397007,4424.608289156073,63878.17294685025,13.410940647928966,0.0898503822518875,0.3718665881719423,4763.1388896434255
PROP,BANDS,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_bands_risk_seeking.csv,0.55,,,mae,mae,6370.465135244442,12.796908993194414,0.0089606308558682,0.3943867698495738,497.81280296924433,6120.05806204364,15.167684856707044,0.008608410837547,0.4601674143279821,403.4932239073647
PROP,BANDS,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.1,,,mae,mae,54140.088452745535,12.837807569727977,0.0761528925800319,0.312302433166963,4217.237885728235,40158.90771790682,12.960932131598748,0.0564871072983643,0.4099190334836614,3098.458298381134
PROP,BANDS,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_bands_risk_seeking.csv,0.15,,,mae,mae,56905.07872684446,12.929526830308722,0.0800420995123787,0.3213108420294808,4401.172562127374,56513.36535556142,13.07645304786789,0.079491119505918,0.39311516607756,4321.765630839465
PROP,BANDS,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.3,,,mae,mae,53266.87677410932,13.169153328431252,0.0749246419978251,0.3095034595498981,4044.821671193544,47670.36548144079,14.42330494739734,0.0670526466710072,0.4025869473060067,3305.093087561934
PROP,BANDS,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_bands_risk_seeking.csv,0.3,,,mae,mae,59297.96142964595,13.7301322940876,0.0834079037552386,0.3042854193245827,4318.819379124303,61235.73770115841,13.65995089126347,0.0861335599642679,0.3730328509718609,4482.86660681358
PROP,MEDIAN,RISK SEEKING,---,---,test_trading_strategy_measures______None_____benchmark_prediction_False_median_risk_seeking.csv,,,,mae,mae,32550.156597079807,13.593169278493558,0.0457847160882304,0.3201125092760992,2394.596574956148,42773.10294500427,16.01512649167852,0.0601642074657596,0.38886959702417,2670.7939501588844
PROP,MEDIAN,RISK SEEKING,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_False_median_risk_seeking.csv,,,,mae,mae,58205.82063157255,14.127529075371168,0.0818717097213011,0.2979764807091496,4120.02837304678,67870.31842211865,13.540033957264455,0.0954656930914205,0.3686082887257473,5012.566337450364
PROP,MEDIAN,RISK SEEKING,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_False_median_risk_seeking.csv,,,,mae,mae,57968.106478527385,14.405242629476191,0.081537343434157,0.2987434315204026,4024.097890577164,66542.61709743289,14.437784810750406,0.0935981620391687,0.3608714210859891,4608.921518755779
PROP,MEDIAN,RISK SEEKING,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_False_median_risk_seeking.csv,,,,mae,mae,56717.2417220769,13.502159044760408,0.0797778899099304,0.3034426618724174,4200.60536496838,62314.07097421493,13.32639974730528,0.0876503324752737,0.3740979783720045,4675.986924886852
PROP,MEDIAN,RISK SEEKING,SVS,WEATHER,test_trading_strategy_measures__weather_scenarios_None_True_dual_coeff_MULTI_prediction_False_median_risk_seeking.csv,,,,mae,mae,59347.72500322739,14.110964316431504,0.0834779006869328,0.2978115071032853,4205.788043423791,68190.44036349063,13.972592886696034,0.0959159733275728,0.3611764130542775,4880.299663523295
SELLER,BANDS,RISK AVERSE,---,---,test_trading_strategy_measures______None_____benchmark_prediction_True_bands_risk_averse.csv,0.9000000000000001,,,mae,mae,1092992.6952100827,15.432071564164444,0.460961078024568,0.1384437674024297,70826.0514905966,1092853.7547098466,15.457674138288178,0.46076564574339,0.1383504643310388,70699.75372316083
SELLER,BANDS,RISK AVERSE,---,HIST,test_trading_strategy_measures__hist_insample_None_False_None_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,mae,mae,1102208.4628230634,15.591372821529225,0.4739238821338816,0.1402606733045393,70693.4838541663,1099548.5433486896,15.624207685226295,0.4701824667097025,0.1396554234922448,70374.67534359418
SELLER,BANDS,RISK AVERSE,---,WEATHER,test_trading_strategy_measures__weather_scenarios_None_False_None_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,mae,mae,1115294.723896616,16.040920949585672,0.4923308826078154,0.1377192152880948,69528.09800645662,1113511.444064875,15.903913681597968,0.4898225395048066,0.1376772008231794,70014.93257306167
SELLER,BANDS,RISK AVERSE,SVS,HIST,test_trading_strategy_measures__hist_insample_None_True_dual_coeff_MULTI_prediction_True_bands_risk_averse.csv,0.95,,,mae,mae,1095729.2423475245,15.438066652855133,0.4648102771329088,0.1398883361160503,70975.8072034803,1094993.4663179396,15.542972644907984,0.4637753421236531,0.1394675759599357,70449.42375785942
