param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
,0.5,0.5,5_95_IPR,kernel,_hist_insample_None_False_None,MULTI_prediction,782.8081023129453,57.30416614293805,7.363450912107777,17.589534969806845,0.5904304029304029,33753.44870332543,0.0048020029678475,0.510174749961108,0.530201856338199,0.1091520422283203,0.0,1.931859472488864,4583.91712068378
,1,0.2,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,908.2031311661232,53.741844719154685,7.745658858833252,12.31388279420249,0.6033653846153846,34965.96379488814,0.0022241482806039,0.488128164038548,0.5014382936726637,0.1130730785538229,0.0,2.001257085330137,4514.265917483894
,1,0.25,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,891.5548855992565,52.29031901197593,7.747035024971282,12.32402222732977,0.6030792124542125,34956.01237586635,0.0022289542677459,0.4889058503676428,0.5023794911337821,0.11304089761377,0.0,2.000687521512497,4512.179467782376
,0.5,0.25,5_95_IPR,kernel,_hist_insample_None_False_None,MULTI_prediction,777.189256327114,61.17182203428138,7.481655254396255,17.59497991385501,0.5910599816849816,33678.41132517264,0.0048261208429899,0.506086649858858,0.5260735204527892,0.1089093860440344,0.0,1.9275647507539284,4501.465274730889
,0.5,0.15,5_95_IPR,kernel,_hist_insample_None_False_None,MULTI_prediction,892.7752689227273,67.26350084154647,7.493254014158752,17.631380983511477,0.5913461538461539,33685.07951360508,0.004843977611367,0.5058706499150672,0.525729757693826,0.1089309496594078,0.0,1.9279464007328917,4495.3873777608505
,1,0.15,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,905.9452843105008,54.46165544551497,7.765992045235834,12.323090482842815,0.6039949633699634,34897.00952748318,0.0022359747574616,0.4875191089260568,0.5003407471205655,0.1128500939582705,0.0,1.997310526985072,4493.567508724307
,1,0.3,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,887.2857366630851,53.05323692891098,7.753855954248222,12.33127537636504,0.6023923992673993,34840.68436247808,0.0022459295011997,0.4892980796394207,0.503050965654912,0.1126679494063703,0.0,1.994086788145495,4493.336549976711
,0.5,0.5,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,926.7837037042918,57.4731794457427,7.7359131628994975,12.227708912716636,0.6041094322344323,34749.07772551668,0.0022206813268379,0.4810527731704915,0.495312682909956,0.112371711484317,0.0,1.9888437342901035,4491.916725767948
,0.5,0.35,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,893.9714836481126,56.91083529321482,7.7499780634552895,12.23934954352344,0.6049107142857143,34801.9379831338,0.0022182228511276,0.4812120646989687,0.4951276160175472,0.1125426512043538,0.0,1.9918691611225847,4490.5853536851855
,1,0.1,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,910.2389164413416,53.82152273401489,7.779134576023656,12.298133126199156,0.6049107142857143,34894.88993270443,0.0022274223202032,0.4867716504644996,0.4990026343276042,0.1128432396038953,0.0,1.9971892131813431,4485.703337779397
,0.5,0.3,5_95_IPR,kernel,_hist_insample_None_False_None,MULTI_prediction,758.313828904882,61.0624909685006,7.44471847813688,17.543355237895145,0.5905448717948718,33381.808784301465,0.0048827998323036,0.5052461890357123,0.52525571358536,0.107950231518796,0.0,1.9105888727278768,4483.958511303656
