,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
3859,0.6000000000000001,1.25,0.0,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,919.1540888417621,57.97428496453262,7.381472698799621,11.879374313862588,0.6096039377289377,34415.350931291236,0.002138968982524288,0.49612560371146985,0.5070542545527904,0.11129250439480774,0.0,1.9697430707011925,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4662.396290768355
3862,0.6000000000000001,1.25,0.05,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,917.4705166753938,58.127421723846595,7.376794795065111,11.889407021272772,0.6079441391941391,34294.280009230606,0.0021572360624026623,0.49749818310003174,0.5090334273657765,0.11090098474555538,0.0,1.9628136452169531,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4648.940490004224
3736,0.55,1.25,0.05,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,897.5995832089284,54.59578188518605,7.44591447680355,11.942378305301755,0.6085164835164835,34401.89684798349,0.0021627550151147546,0.49289994036269474,0.5036563547972827,0.11124899652447845,0.0,1.9689730338818388,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4620.237978176705
4186,0.7000000000000001,3.0,0.9,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,723.735338034985,53.09308624653245,7.341154579160262,11.629071279510804,0.6058836996336996,33908.55154601822,0.0021122457059611806,0.49746735072243203,0.5038513922945829,0.10965361444347792,0.0,1.9407366956283323,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4618.967109380354
4189,0.7000000000000001,3.0,2.0,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,735.1836539278083,53.963960366208106,7.350891728368962,11.613968928561896,0.606856684981685,33900.115966798076,0.002107931795094542,0.49621097077554477,0.5016622138662792,0.10962633543245445,0.0,1.9402538900410986,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4611.701167624181
3988,0.6500000000000001,1.25,0.05,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,832.3305876114537,57.76532091415663,7.336313317586615,11.754666973508646,0.6075434981684982,33823.732179125196,0.002167417948683565,0.49979011650030497,0.5106693466140309,0.10937932522348556,0.0,1.935882107321726,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4610.45360454316
10834,0.45,1.25,0.0,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,921.3450063252749,55.591866203347415,7.088600419550325,11.388717182057611,0.6109775641025641,32576.90914660138,0.002192601221958039,0.49829363060065074,0.5088140251749493,0.10534734373639462,0.0,1.8645208989584123,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4595.675763688757
3733,0.55,1.25,0.0,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,914.6292559138874,56.161868869494896,7.46763233751632,11.937065194464028,0.6096611721611722,34264.01133056871,0.0021778470569341407,0.49185228547642823,0.502090527305222,0.11080310176712145,0.0,1.9610812345792532,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4588.336675124083
4210,0.7000000000000001,3.75,2.0,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,785.3399547789868,54.99706215181189,7.355986031567375,11.541654101955665,0.6118360805860806,33725.59886094357,0.0021034877185621883,0.49016405160225396,0.4944974930048117,0.1090619812926679,0.0,1.9302655025723199,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4584.782885151496
3865,0.6000000000000001,1.25,0.35,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,860.739803455499,56.1716275598437,7.449026815979793,12.001913198087395,0.6042811355311355,34129.56342608435,0.0022178729701135703,0.501962978147647,0.5149439018988525,0.11036832357669789,0.0,1.9533861851009817,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4581.747961071769
