,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
7790,0.2,1.75,2.0,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,557.692442506399,36.89878650777202,6.090736087840952,16.517535227023934,0.5787545787545788,29092.90683830777,0.00568918548786437,0.5309191589291257,0.5576208943508486,0.09408076264060979,0.0,1.6651160049397762,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4776.583062987489
10063,0.15000000000000002,0.25,0.35,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,725.0935137325596,47.56772151842696,6.87972617334045,10.920167791532503,0.6224244505494505,32294.30867724997,0.0020550217869454586,0.5094405527057745,0.5138792473452739,0.10443346916803535,0.0,1.8483464215459002,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4694.1270427874415
10069,0.15000000000000002,0.25,0.9,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,727.0079084271383,48.123354495932745,6.888789324799286,10.92648007748258,0.621966575091575,32194.17936025052,0.0020697926813904146,0.5082792628788086,0.5132515240081545,0.10410967056797289,0.0,1.8426155769374153,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4673.416161001344
10066,0.15000000000000002,0.25,0.7,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,732.4442417604714,47.740757013838454,6.886629679700599,10.921617691103952,0.6219093406593407,32139.817576769154,0.002074809703969062,0.5086005262346303,0.5134217253322393,0.10393387520737674,0.0,1.839504211124608,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4666.987927564366
7898,0.25,1.25,5.0,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,376.2259390665495,34.927651454049844,6.13111769607219,16.623440902001253,0.5720581501831502,28563.39460503638,0.005975096372559454,0.5273591566107501,0.555999971673849,0.09236842378734303,5.723443223448754e-05,1.634809672907302,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4658.7581613928405
7769,0.2,1.25,2.0,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,576.1666480913918,39.617328194931865,6.221969075651103,16.57691360283316,0.580242673992674,28978.198497179237,0.005774747989371984,0.5262497174925335,0.551635408186092,0.09370981833193034,0.0,1.6585507381627311,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4657.399955679914
10171,0.15000000000000002,3.75,0.7,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,716.862337181763,50.27700328571143,7.051556203023711,11.16114297155805,0.6041094322344323,32833.09171280252,0.002076234828560853,0.5049224230786263,0.5106986813842351,0.1061757879801199,0.0,1.8791833626832943,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4656.148340521439
10060,0.15000000000000002,0.25,0.05,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,739.4592392183204,47.74518436818632,6.910564961766599,10.936668623489101,0.6233974358974359,32161.830701826704,0.0020776057981353306,0.5075651198424213,0.5121669788098077,0.1040050613423693,0.0,1.8407641198389826,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4654.008880571313
10174,0.15000000000000002,3.75,0.9,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,709.0765254934522,49.61323689287327,7.088919860470272,11.189060124165733,0.6054258241758241,32940.59427041446,0.002073125109177962,0.5039764623622525,0.5094247846060205,0.10652343019621603,0.0,1.8853362105319633,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4646.771993304664
3226,0.35000000000000003,0.25,5.0,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,949.1049545012593,58.17483677661771,7.540775157037016,11.859063176223607,0.6208218864468864,35031.47090282528,0.0020595228749550913,0.4870320144609876,0.49324690477794825,0.11328491571080963,5.723443223448754e-05,2.0050063474602378,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4645.606078061361
10165,0.15000000000000002,3.75,0.05,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,704.6772364293338,51.07527509800745,7.054517704847984,11.226660487424347,0.6056547619047619,32751.257169503107,0.0021102292293706834,0.5135119605838301,0.5221184841731326,0.10591115109502813,0.0,1.8744996090603885,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4642.593376297842
7637,0.15000000000000002,1.25,0.7,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,704.4257474239512,42.39625707323766,6.261399397561864,16.426947232177426,0.6025641025641025,29034.57719404292,0.005649983484168903,0.5219466610464917,0.541618744579245,0.09389213599537656,5.723443223448754e-05,1.661777540867841,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4637.074773627879
10177,0.15000000000000002,3.75,2.0,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,738.9456440536615,51.29028963821287,7.111611817494002,11.211240111411687,0.6050251831501832,32973.98619975796,0.0020770281881618956,0.5008933908341844,0.5073018351768046,0.10663141315564106,0.0,1.8872473786491506,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4636.640334986305
3214,0.35000000000000003,0.25,0.35,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,955.4823212447936,58.2995961301337,7.534662570699703,11.845786720778095,0.6213369963369964,34916.63680669233,0.002068204600474048,0.48748298105092264,0.4932070608912251,0.11291356473507604,5.723443223448754e-05,1.9984338831669146,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4634.134107408318
10075,0.15000000000000002,0.25,5.0,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,722.7536120582445,47.92868979486441,6.943511809424995,10.95998875251226,0.6225389194139194,32121.626198069174,0.002091313310771628,0.5080742915770472,0.512468291362797,0.10387504785158551,0.0,1.8384630378931532,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4626.135459936551
10057,0.15000000000000002,0.25,0.0,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,739.2135949717322,48.02518999779365,6.912086476171112,10.856295745374487,0.6238553113553114,31967.48642499702,0.00207229903321742,0.5066286572428159,0.5110128162463962,0.10337659001495628,0.0,1.8296409354966243,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4624.8678362463315
7772,0.2,1.25,5.0,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,448.1098860228303,33.87888086371631,6.16388375059082,16.64300445703047,0.5738324175824175,28468.012068529817,0.006028849393728437,0.5322774201114999,0.5599821525253555,0.09205997534570029,0.0,1.6293505075852688,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4618.518651621407
3232,0.35000000000000003,1.25,0.05,5_95_IPR,kernel,_weather_scenarios_None_True_dual_coeff,MULTI_prediction,929.4322629250655,60.388458210443794,7.48173366321846,11.910298392016095,0.6078869047619048,34536.488476786646,0.0021351674729221705,0.49537565563644026,0.5066500951983596,0.11168423949119946,5.723443223448754e-05,1.9766763093398951,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4616.107713988029
7811,0.2,2.0,2.0,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,628.9999497251592,46.56455446388015,6.193182808465937,16.531795918081446,0.5754922161172161,28579.789002623882,0.005903313103191721,0.5294345177840235,0.5573758412427557,0.09242144005816937,0.0,1.6357479969450481,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4614.717486387771
10147,0.15000000000000002,3.0,0.35,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,699.6443679516506,51.72361588193961,7.064112228211348,11.23892107436017,0.6010187728937729,32591.268560752727,0.002134965500485122,0.5149558232294786,0.5243760372660106,0.10539377926935595,0.0,1.8653427518745838,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4613.639691424455
10180,0.15000000000000002,3.75,5.0,5_95_IPR,kernel,_weather_scenarios_None_False_None,MULTI_prediction,742.7857867961429,49.9202069251924,7.127889768000715,11.203245154966229,0.6064560439560439,32861.47852173714,0.002087982744465504,0.5010189383391274,0.5066118382922659,0.1062675853604348,0.0,1.8808080655756148,309233.32275104104,-309233.32275104104,0.0,27.063167108527637,4610.267497298065
