param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
0.05,1.75,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1514.3765442196743,14.373683916334716,12.981033597973916,17.618326048286097,0.9755608974358976,657837.0053885486,6.976686277425705e-05,0.1957597670800822,0.1961890170474256,0.5610551715531891,0.0,37.65092750621272,50676.78166176413
0.05,1.25,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1470.2936412348645,14.62099930277144,12.968734718537355,17.51966079725006,0.975389194139194,657200.8855973827,6.965089035086889e-05,0.1956254780669725,0.1960393271909441,0.5589980847376195,0.0,37.61451955113225,50675.790650416144
0.05,1.0,0.4,iqr,kernel,_____None____,benchmark_prediction,1385.190824450925,13.68934761178426,12.96826244814718,17.377871428323097,0.975503663003663,657117.7740427236,6.945381732729696e-05,0.1948728820708562,0.1953905591834553,0.5587293182479033,0.0,37.609762708489214,50671.22728817139
0.05,1.75,0.5,5_95_IPR,kernel,_____None____,benchmark_prediction,1538.112544219708,14.246709695906215,12.983120348667375,17.602986943357617,0.9756753663003664,657775.8000778382,6.974737827266846e-05,0.1956011126105839,0.1960335574193666,0.5608572455658929,0.0,37.64742445500448,50663.92226313717
0.05,1.25,0.4,5_95_IPR,kernel,_____None____,benchmark_prediction,1441.7304938583402,14.498542785700891,12.971112318007068,17.51111576209849,0.9754464285714286,657030.5940158427,6.964521214600514e-05,0.1954704846628155,0.1959088189650673,0.5584473951158638,0.0,37.6047730091485,50653.37327344887
0.05,1.75,0.4,5_95_IPR,kernel,_____None____,benchmark_prediction,1514.3765442196743,14.266319979015051,12.98145402580412,17.601565036246978,0.975503663003663,657520.281654788,6.975508246103213e-05,0.1956248850854548,0.1960691788775859,0.5600309490310398,0.0,37.63280000313576,50650.74223178622
0.05,1.25,0.35,iqr,kernel,_____None____,benchmark_prediction,1494.3830748810433,14.41863406931853,12.975754841470597,17.38130884013083,0.9755608974358976,657181.6733026236,6.945627482948989e-05,0.1948482777766466,0.1953431349811189,0.5589359559392475,0.0,37.613419946349794,50646.89348185485
0.05,1.25,0.5,5_95_IPR,kernel,_____None____,benchmark_prediction,1460.0880645152647,14.547061004579652,12.972962318933437,17.50207191740575,0.9752747252747253,656715.5437613007,6.964429439603427e-05,0.1954399302670583,0.1958897699479986,0.557428584297744,0.0,37.58674128670448,50621.864738083365
0.05,1.25,0.1,iqr,kernel,_____None____,benchmark_prediction,1424.9701031749137,14.467568245452298,12.995518088631094,17.464403677853237,0.9752747252747253,657368.073013357,6.95664155514064e-05,0.1953024294035198,0.1958552073618723,0.559538736095911,0.0,37.624088427962285,50584.21438299133
0.05,1.0,0.35,iqr,kernel,_____None____,benchmark_prediction,1384.4069320686394,14.036173480766315,12.98313621194141,17.37109032684836,0.975503663003663,656686.5229510567,6.946032469101476e-05,0.1946253647130692,0.195169820038769,0.5573347366813686,0.0,37.58508029710718,50579.96097638263
