param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
,1.75,0.3,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1577.1932956419769,20.615438293864305,14.684023117940855,19.05757829793746,0.9680631868131868,648134.0465230752,7.234039379972165e-05,0.1999021878836328,0.1988145124532185,0.5296777029830081,0.0,37.095584164553294,44138.72419821981
,1.75,0.25,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1566.872370970843,20.496601785626368,14.67805747594657,19.048637073755028,0.967433608058608,647602.3016625256,7.235101647663646e-05,0.1996774639883384,0.198832125117429,0.5279581442504013,0.0,37.06515004936617,44120.43642176585
,1.75,0.4,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1587.5068885600776,20.625151277745125,14.69977660624806,19.097233068844396,0.9676053113553114,648172.8976241366,7.240150542165258e-05,0.2003230990330906,0.1990319485354002,0.5298033398345473,0.0,37.09780778526423,44094.06448725447
,1.75,0.35,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1580.353425511159,20.677937697136784,14.699625017550376,19.07989985223349,0.9677770146520146,648134.287609851,7.237578955361293e-05,0.1998008090176082,0.1988714754371692,0.5296784826104223,0.0,37.09559796301803,44091.89260515297
,2,0.3,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1585.247888844984,20.388988627546,14.71163235863944,19.10827257120384,0.96823489010989,648557.4343770802,7.240104478735144e-05,0.1998285314279387,0.1987857493937983,0.5310468563790212,0.0,37.11981652799223,44084.6684152091
,1.75,0.2,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1601.2819159195642,21.617946624623134,14.70680839191906,19.108040790390024,0.9677197802197802,647911.7120853018,7.243092190532577e-05,0.2001513320428164,0.1990241988663684,0.528958716957196,0.0,37.08285897924117,44055.22223579858
,2,0.25,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1564.378595158341,20.23236037348722,14.713683560885633,19.10086187701493,0.9676053113553114,648112.0707994831,7.241011813328825e-05,0.1993430532016565,0.1987027337885357,0.5296066377970294,0.0,37.094326396490565,44048.25400230863
,1.75,0.5,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1622.0432009510696,21.17572181816652,14.71365599270328,19.130793714444888,0.9675480769230768,648030.5935318656,7.246154555473005e-05,0.2002412504320217,0.1990896226027217,0.5293431562715178,0.0,37.08966309133847,44042.79900612286
,2,0.4,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1592.418752779602,20.932106235586463,14.725499974023904,19.118083227219643,0.9680631868131868,648081.8698867611,7.243891225949746e-05,0.2003648591845949,0.1989593146226759,0.5295089739603726,0.0,37.09259786439795,44010.85674713873
,1.75,0.45,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1592.2685162403504,21.117760036472312,14.719787035266233,19.12989780453637,0.967433608058608,647829.5342237831,7.246957169806081e-05,0.2003802430812993,0.199194408152067,0.5286929698482247,0.0,37.07815557599491,44010.79531053596
