,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
4919,0.05,0.25,2.0,iqr,kernel,_____None____,benchmark_prediction,1739.3413885692134,21.110497989117494,13.402574322281648,17.352585157482004,0.971783424908425,640096.6538815828,7.007487135003849e-05,0.19397625377518496,0.19386043688688853,0.5036863493669453,0.0,36.63556856007227,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47759.23180798396
4922,0.05,0.25,5.0,iqr,kernel,_____None____,benchmark_prediction,1715.105678733089,20.74539550353057,13.404811684894675,17.360424941083725,0.9718406593406593,640054.5862140905,7.00881658824459e-05,0.19413342338346395,0.19393889454939212,0.5035503107695585,0.0,36.63316084100793,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47748.12218625506
4913,0.05,0.25,0.7,iqr,kernel,_____None____,benchmark_prediction,1745.3615400453564,21.037133419329997,13.40882740531899,17.356928955181182,0.9718978937728938,640193.2184956743,7.007742547251758e-05,0.19387584443047842,0.19384613039994092,0.5039986204159786,0.0,36.64109538093374,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47744.161300914624
4931,0.05,1.25,0.35,iqr,kernel,_____None____,benchmark_prediction,1733.2967761832988,20.52877506673838,13.433308047620876,17.443958681537904,0.9722985347985348,641015.2189863723,7.017329296602884e-05,0.19427128243205546,0.19409944249570546,0.506656809007639,0.0,36.68814211231527,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47718.344335883834
4928,0.05,1.25,0.05,iqr,kernel,_____None____,benchmark_prediction,1750.8845145341475,20.30268439504517,13.42957113261536,17.381392382710576,0.9723557692307693,640830.2668417018,7.008805996146065e-05,0.19408458361407557,0.19389544208296777,0.5060587099961058,0.0,36.67755648132451,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47717.850444633106
4937,0.05,1.25,0.9,iqr,kernel,_____None____,benchmark_prediction,1653.3305530779762,19.865572241803875,13.432081119380637,17.442067627339014,0.9723557692307693,640737.0383251526,7.018172278579157e-05,0.1943101018693373,0.19405915422115305,0.5057572272331233,0.0,36.67222060011176,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47701.99291014239
4934,0.05,1.25,0.7,iqr,kernel,_____None____,benchmark_prediction,1705.3169923824025,20.6367803344322,13.435175925042262,17.454032840845706,0.9721840659340659,640843.023328208,7.019520442951685e-05,0.19398369408306923,0.19403004080534936,0.5060999619750086,0.0,36.678286591586996,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47698.89333073189
4904,0.05,0.25,0.0,iqr,kernel,_____None____,benchmark_prediction,1725.1914126051124,20.925236793144673,13.419674261634125,17.373294329334914,0.9716689560439561,640086.1021859539,7.010596244057454e-05,0.19391151837614007,0.19392237111144087,0.503652227249914,0.0,36.634964639763844,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47697.588608086684
4915,0.05,0.25,0.9,5_95_IPR,kernel,_____None____,benchmark_prediction,1753.8372324585216,21.07463761850089,13.414081056372904,17.356395074405604,0.971783424908425,639773.1490212643,7.009350510471013e-05,0.19405845555775558,0.19385614325341774,0.502640198009645,0.0,36.61705294306687,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47694.146645797555
4918,0.05,0.25,2.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1744.4302681727568,21.090140403843538,13.41738450363336,17.362493857052485,0.9718406593406593,639750.2507375535,7.010346485278488e-05,0.19421600315959547,0.19390111423794695,0.502566149444933,0.0,36.61574237279953,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47680.69742387664
4939,0.05,1.25,2.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1748.0701633972349,20.506808760505887,13.438731186159657,17.45569908998443,0.9722413003663004,640756.2710054467,7.020118958673836e-05,0.19439240609359015,0.19415926517683554,0.5058194219543228,0.0,36.67332137164873,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47679.819034207016
4925,0.05,1.25,0.0,iqr,kernel,_____None____,benchmark_prediction,1756.8318876059493,20.231721871735612,13.438925971690272,17.39359389071476,0.9725274725274725,640748.1190617995,7.010941311541681e-05,0.1942687342869783,0.19391117953973405,0.50579306016519,0.0,36.67285479978248,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47678.521364844586
