,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
866,,2,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1651.4425223853323,22.654558172393628,14.49291919271607,18.859091116254287,0.9686355311355311,646467.3189381572,7.210374816534783e-05,0.20010309867645054,0.19863865992453272,0.5242878324150815,0.0,37.000189957541046,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44605.7354175453
966,,2.25,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1630.4091595886857,23.173661471968607,14.512950378934379,18.87566512090522,0.9686927655677655,646499.8369585752,7.212839655783456e-05,0.2000807262557122,0.19847574929174802,0.5243929893242034,0.0,37.00205110797706,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44546.40993584412
970,,2.25,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1637.3585421383032,23.555272455442203,14.527409314273044,18.90128339034895,0.9688072344322345,646029.1127750248,7.219062414339792e-05,0.20050111782489155,0.19871730154610656,0.5228707595096329,0.0,36.975109476592536,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44469.671005986405
870,,2,1.0,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1658.3919049349497,23.70804325345914,14.533395225442208,18.892782272967164,0.96875,645977.7160537229,7.217955156467595e-05,0.2005806175030802,0.19862070098477,0.5227045525793943,0.0,36.97216781443011,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44447.818698474
1078,,2.5,1.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1616.8950351938838,23.21761857108276,14.545275141331317,18.856373512695647,0.9692078754578755,646479.3241284741,7.209891103850154e-05,0.19986526459551704,0.1980598004727581,0.5243266548492556,0.0,37.0008770677927,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44446.00173230566
862,,2,0.8,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1666.4743792921654,22.936147009940594,14.539516158827205,18.91922948512457,0.9681776556776557,646117.0344375476,7.221496052545712e-05,0.20038063598224504,0.1987949905581809,0.5231550809460828,0.0,36.98014162302813,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44438.68883802424
846,,2,0.55,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1756.1952951962012,23.98249117417538,14.54775486971499,18.895782987799283,0.9681776556776557,646365.5672866206,7.216636343450089e-05,0.19978853454212778,0.19842434667941308,0.5239587875028731,0.0,36.994366259536434,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44430.6061708671
1074,,2.5,1.25,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1626.1740976938745,23.590810748639388,14.550385493813499,18.92909941196034,0.9688072344322345,646288.9990515054,7.222261561535168e-05,0.2004167717750575,0.19858353878793908,0.523711180827001,0.0,36.98998392007242,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44417.311096416866
733,,1.75,0.4,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1762.9188118698657,21.604021459443683,14.601225006089962,19.002794568415883,0.9682348901098901,648348.5180815499,7.224373515719156e-05,0.20026107554974434,0.19879294786586574,0.530371261997175,0.0,37.10785932243303,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44403.7070732855
1066,,2.5,0.9,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1664.5257518331055,24.05621813243359,14.547986485841795,18.918936860741567,0.9682921245421245,645957.6339108452,7.222189118064065e-05,0.1999239915327914,0.19851158503325847,0.5226396108625732,0.0,36.971018424384454,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44401.85825986955
882,,2,2,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1693.04162391898,23.59939237449836,14.582571223945491,19.098086361144865,0.9689789377289377,647334.1539390717,7.244219342030891e-05,0.20057685546690537,0.19887120395765656,0.5270910070315907,0.0,37.049802766659326,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44390.947522074064
662,,1.5,0.8,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1666.406864918361,23.307559069589615,14.579355766832307,19.000913144898902,0.9675480769230769,647124.8283130155,7.229756975322052e-05,0.20091371453533113,0.19919015323305167,0.5264140889549942,0.0,37.03782213329988,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,44386.3802120262
